Name
Browser pour SQL Server 2016
Configuration Manager Client
Enregistreur VSS Microsoft pour SQL Server 2016
Fichiers de support d'installation de Microsoft SQL Server 2008
Fortinet SSO Collector Agent
Fournisseur OLE DB Microsoft Analysis Services
Google Chrome
Integration Services
Microsoft ODBC Driver 13 for SQL Server
Microsoft ODBC Driver 17 for SQL Server
Microsoft OLE DB Driver pour SQL Server
Microsoft SQL Server
Microsoft SQL Server 2012 Native Client
Microsoft SQL Server 2016 RsFx Driver
Microsoft SQL Server 2016 Setup(English)
Microsoft SQL Server 2016 T - SQL Language Service
Microsoft SQL Server 2016 T - SQL ScriptDom
Microsoft SQL Server Data - Tier Application Framework(x86) - fr - FR
Microsoft Visual C++ 2012 x64 Additional Runtime
Microsoft Visual C++ 2012 x64 Minimum Runtime
Microsoft Visual C++ 2012 x86 Additional Runtime
Microsoft Visual C++ 2012 x86 Minimum Runtime
Microsoft Visual C++ 2019 X64 Additional Runtime
Microsoft Visual C++ 2019 X64 Minimum Runtime
Microsoft Visual C++ 2019 X86 Additional Runtime
Microsoft Visual C++ 2019 X86 Minimum Runtime
Microsoft Visual C++ 2019 X86 Minimum Runtime
Microsoft Visual Studio Tools for Applications 2017 x64 Hosting Support
Microsoft Visual Studio Tools for Applications 2017 x86 Hosting Support
Module linguistique de Microsoft Help Viewer
Module linguistique Shell isolé Visual Studio 2017 pour SSMS - Français
SQL Server 2016 Batch Parser
SQL Server 2016 Client Tools
SQL Server 2016 Client Tools Extensions
SQL Server 2016 Common Files
SQL Server 2016 Connection Info
SQL Server 2016 Database Engine Services
SQL Server 2016 Database Engine Shared
SQL Server 2016 DMF
SQL Server 2016 RS_SharePoint_SharedService
SQL Server 2016 Shared Management Objects
SQL Server 2016 Shared Management Objects Extensions
SQL Server 2016 SQL Diagnostics
SQL Server 2016 XEvent
Sql Server Customer Experience Improvement Program
SQL Server Management Studio
SQL Server Management Studio for Analysis Services Localization
SQL Server Management Studio for Reporting Services
SQL Server Management Studio for Reporting Services Localization
SSMS Post Install Tasks
Visual Studio 2017 Isolated Shell for SSMS
VMware Tools
WithSecure™ Elements Agent
